"uniqueVarID"	"study"	"variable"	"moment"	"type"	"datatype"	"dependent"	"direction"	"psytype"	"parent"	"description"	"comment"	"values"	"labels"	"classification_P"	"classification"
"ahmed2004.r_mouthcancer"	"ahmed2004.r"	"mouth cancer"	"0"	"question"	"logical"	"initiation"	"inconsistent"	"belief"	"NA"	"NA"	NA	NA	NA	"risk perception"	"risk perception"
"ahmed2004.r_relax"	"ahmed2004.r"	"relax"	"0"	"question"	"logical"	"initiation"	"consistent"	"belief"	"NA"	"NA"	NA	NA	NA	"attitude"	"attitude"
"ahmed2004.r_shorttermhealthrisk"	"ahmed2004.r"	"short-term health risk"	"0"	"question"	"logical"	"initiation"	"inconsistent"	"belief"	"NA"	"NA"	NA	NA	NA	"risk perception"	"risk perception"
"ahmed2004.r_smoking"	"ahmed2004.r"	"smoking"	"1"	"question"	"logical"	"initiation"	"consistent"	"behavior"	"NA"	"0 = nonsmoking, 1 = smoking"	NA	NA	NA	"behavior"	"behavior"
"ahmed2004.r_stress"	"ahmed2004.r"	"stress"	"1"	"question"	"logical"	"initiation"	"consistent"	"determinant"	NA	"Stress composite score; Page 203, left column, 1/3rd of first paragraph."	NA	NA	NA	"stress"	"stress"
"ahmed2004.r_stressathomereason"	"ahmed2004.r"	"stress at home (reason)"	"0"	"question"	"logical"	"initiation"	"consistent"	"belief"	"NA"	"NA"	NA	NA	NA	"stress"	"stress"
"ahmed2004.r_stressathomestress"	"ahmed2004.r"	"stress at home (stress)"	"1"	"question"	"logical"	"initiation"	"consistent"	"belief"	NA	"Page 203, left column, halfway first paragraph."	NA	NA	NA	"stress"	"stress"
"ahmed2004.r_stressatschoolwork"	"ahmed2004.r"	"stress at school work"	"1"	"question"	"logical"	"initiation"	"consistent"	"belief"	NA	"Page 203, left column, halfway first paragraph."	NA	NA	NA	"stress"	"stress"
"ahmed2004.r_stroke"	"ahmed2004.r"	"stroke"	"0"	"question"	"logical"	"initiation"	"inconsistent"	"belief"	"NA"	"NA"	NA	NA	NA	"risk perception"	"risk perception"
"ahmed2004.r_tobecool"	"ahmed2004.r"	"to be cool"	"0"	"question"	"logical"	"initiation"	"consistent"	"belief"	"NA"	"NA"	NA	NA	NA	"injunctive norm"	"injunctive norm"
"ahmed2004.r_topleaseafriend"	"ahmed2004.r"	"to please a friend"	"0"	"question"	"logical"	"initiation"	"consistent"	"belief"	"NA"	"NA"	NA	NA	NA	"injunctive norm"	"injunctive norm"
"Ayo-Yusuf2010.r_cessation"	"Ayo-Yusuf2010.r"	"Cessation"	"1"	"question"	"logical"	"cessation"	"consistent"	"behavior"	"NA"	"NA"	"NA"	NA	NA	"behavior"	"behavior"
"Ayo-Yusuf2010.r_descriptivenormhome"	"Ayo-Yusuf2010.r"	"Descriptive norm (home)"	"1"	"question"	"logical"	"cessation"	"consistent"	"belief"	NA	NA	"NA"	NA	NA	"descriptive norm"	"descriptive norm"
"Ayo-Yusuf2010.r_descriptivenormworkplace"	"Ayo-Yusuf2010.r"	"Descriptive norm (workplace)"	"1"	"question"	"logical"	"cessation"	"consistent"	"belief"	NA	NA	"NA"	NA	NA	"descriptive norm"	"descriptive norm"
"Ayo-Yusuf2010.r_smokingisharmful"	"Ayo-Yusuf2010.r"	"Smoking is harmful"	"1"	"question"	"logical"	"cessation"	"consistent"	"belief"	NA	NA	"NA"	NA	NA	"risk perception"	"risk perception"
"Barton1982.r_smokerapproximatesidealconformity"	"Barton1982.r"	"Smoker approximates ideal conformity"	"1"	"question"	"numeric"	"initiation"	"consistent"	"belief"	NA	NA	NA	NA	NA	"attitude"	"attitude"
"Barton1982.r_smokerapproximatesidealdrinkingbehavior"	"Barton1982.r"	"Smoker approximates ideal drinking behavior"	"1"	"question"	"numeric"	"initiation"	"consistent"	"belief"	NA	NA	NA	NA	NA	"attitude"	"attitude"
"Barton1982.r_smokerapproximatesidealgoodness"	"Barton1982.r"	"Smoker approximates ideal goodness"	"1"	"question"	"numeric"	"initiation"	"consistent"	"belief"	NA	NA	NA	NA	NA	"attitude"	"attitude"
"Barton1982.r_smokerapproximatesidealhealthiness"	"Barton1982.r"	"Smoker approximates ideal healthiness"	"1"	"question"	"numeric"	"initiation"	"consistent"	"belief"	NA	NA	NA	NA	NA	"attitude"	"attitude"
"Barton1982.r_smokerapproximatesideallooks"	"Barton1982.r"	"Smoker approximates ideal looks"	"1"	"question"	"numeric"	"initiation"	"consistent"	"belief"	NA	NA	NA	NA	NA	"attitude"	"attitude"
"Barton1982.r_smokerapproximatesidealmaturity"	"Barton1982.r"	"Smoker approximates ideal maturity"	"1"	"question"	"numeric"	"initiation"	"consistent"	"belief"	NA	NA	NA	NA	NA	"attitude"	"attitude"
"Barton1982.r_smokerapproximatesidealrelaxedness"	"Barton1982.r"	"Smoker approximates ideal relaxedness"	"1"	"question"	"numeric"	"initiation"	"consistent"	"belief"	NA	NA	NA	NA	NA	"attitude"	"attitude"
"Barton1982.r_smokerapproximatesidealschoolperformance"	"Barton1982.r"	"Smoker approximates ideal school performance"	"1"	"question"	"numeric"	"initiation"	"consistent"	"belief"	NA	NA	NA	NA	NA	"attitude"	"attitude"
"Barton1982.r_smokerapproximatesidealsexualorientation"	"Barton1982.r"	"Smoker approximates ideal sexual orientation"	"1"	"question"	"numeric"	"initiation"	"consistent"	"belief"	NA	NA	NA	NA	NA	"attitude"	"attitude"
"Barton1982.r_smokerapproximatesidealsociability"	"Barton1982.r"	"Smoker approximates ideal sociability"	"1"	"question"	"numeric"	"initiation"	"consistent"	"belief"	NA	NA	NA	NA	NA	"attitude"	"attitude"
"Barton1982.r_smokerapproximatesidealtoughness"	"Barton1982.r"	"Smoker approximates ideal toughness"	"1"	"question"	"numeric"	"initiation"	"consistent"	"belief"	NA	NA	NA	NA	NA	"attitude"	"attitude"
"Barton1982.r_smokerapproximatesidealwisdom"	"Barton1982.r"	"Smoker approximates ideal wisdom"	"1"	"question"	"numeric"	"initiation"	"consistent"	"belief"	NA	NA	NA	NA	NA	"attitude"	"attitude"
"Barton1982.r_smokinginitiationintention"	"Barton1982.r"	"Smoking initiation intention"	"1"	"question"	"numeric"	"initiation"	"consistent"	"proxy"	NA	NA	NA	NA	NA	"intention"	"intention"
"Berg2013.r_cravingscausedisregardofsetrules"	"Berg2013.r"	"Cravings cause disregard of set rules"	NA	"question"	"text"	"cessation"	"inconsistent"	"belief"	NA	"I was so badly addicted that the nurse caught me trying to slip down to go out because my daughter would take me out with the IV thing rolling
it along to go outside and smoke. One time the nurse wouldnt let me go downstairs, so I had a window in my room. I opened it up and climbed
out on the roof and smoked."	NA	NA	NA	"disengagement beliefs"	"disengagement beliefs"
"Berg2013.r_familyadvicemotivatestoquit"	"Berg2013.r"	"Family advice motivates to quit"	NA	"question"	"text"	"cessation"	"consistent"	"belief"	NA	"Both of my daughters were like Mom, you cannot smoke and take radiation and chemotherapy, so I just quit"	"Table 4 page 804"	NA	NA	"injunctive norm"	"injunctive norm"
"Berg2013.r_initiationofcancertreatmentmotivatestoquit"	"Berg2013.r"	"Initiation of cancer treatment motivates to quit"	NA	"question"	"text"	"cessation"	"consistent"	"belief"	NA	"'I was shocked when he told me that statistically, as many as 3/4 of the people who quit start back again. I was floored by that information. Once he told me that
and then the treatment started almost immediately, the desire was gone."	"Table 4 page 804"	NA	NA	"attitude"	"attitude"
"Berg2013.r_nootherreliefavailableanxiety"	"Berg2013.r"	"No other relief available (anxiety)"	NA	"question"	"text"	"cessation"	"inconsistent"	"belief"	NA	"I have quit so many times. The year or two years before, I dont think I was smoking; but then I started again because I felt really stressed and sort
of hopeless when I first found out [I had cancer], and just discouraged. I know its a bad attitude, but Im so sick anyway, who cares? I might as well
smoke since I enjoyed it for so many years. Out of stress and anxiety I started again."	"Table 4 page 804"	NA	NA	"attitude"	"attitude"
"Berg2013.r_nootherreliefavailablehopelessness"	"Berg2013.r"	"No other relief available (hopelessness)"	NA	"question"	"text"	"cessation"	"inconsistent"	"belief"	NA	"The thought of going ahead and smoking anyway because you are already probably... it is difficult because I think about my colon and stuff. I
cant. Its hard. Its very, very hard. That makes me want [a cigarette] because I dont have nobody to talk to."	"Table 4 page 804"	NA	NA	"attitude"	"attitude"
"Berg2013.r_nootherreliefavailablestress"	"Berg2013.r"	"No other relief available (stress)"	NA	"question"	"text"	"cessation"	"inconsistent"	"belief"	NA	"I have quit so many times. The year or two years before, I dont think I was smoking; but then I started again because I felt really stressed and sort
of hopeless when I first found out [I had cancer], and just discouraged. I know its a bad attitude, but Im so sick anyway, who cares? I might as well
smoke since I enjoyed it for so many years. Out of stress and anxiety I started again. "	"Table 4 page 804"	NA	NA	"attitude"	"attitude"
"Berg2013.r_quittingaidessuccessofchemotherapytreatment"	"Berg2013.r"	"Quitting aides success of chemotherapy treatment"	NA	"question"	"text"	"cessation"	"consistent"	"belief"	NA	"When they first told me I was still in the hospital. Of course you cant smoke there. 
I came home and told my kids what the doctor had told me. I didnt slow down [on my smoking], 
but then I had an appointment when I was going to start my chemo and radiation, and she told me, you
know, if you are smoking, the radiation and chemo wont work. Youll be doing this for nothing."	"Table 4 page 804"	NA	NA	"attitude"	"attitude"
"Berg2013.r_quittingcausesseverediscomfort"	"Berg2013.r"	"Quitting causes severe discomfort"	NA	"question"	"text"	"cessation"	"inconsistent"	"belief"	NA	"Its very addicting. Gosh, its addicting. It makes you crazy. Its crazy, but I have actually looked for cigarette butts before, in the ashtray. Ive looked
for some in my car, under the car seat, to see if maybe one had fallen out of my purse. Its like you tear up the house. It’s like you’re an addict. Its
just bad"	NA	NA	NA	"attitude"	"attitude"
"Berg2013.r_quittingdecreasescancerspread"	"Berg2013.r"	"Quitting decreases cancer spread"	NA	"question"	"text"	"cessation"	"consistent"	"belief"	NA	"I don’t want the cancer to spread. The way I understand it, cigarettes or the nicotine is like throwing fertilizer on a fl ower garden. It makes it
grow."	"Table 4 page 804"	NA	NA	"risk perception"	"risk perception"
"Berg2013.r_quittingdecreasesimminenceofdeath"	"Berg2013.r"	"Quitting decreases imminence of death"	NA	"question"	"text"	"cessation"	"consistent"	"belief"	NA	"I used to be one of those people that thought “well you’ve got to die of something.” I realize,
now more than ever, those are just words. That is just somebody trying to be a smart aleck. But when the doctor tells you you’ve got cancer,
your whole world changes."	"Table 4 page 804"	NA	NA	"risk perception"	"risk perception"
"Berg2013.r_quittingisdifficultwithsmokingpartner"	"Berg2013.r"	"Quitting is difficult with smoking partner"	NA	"question"	"text"	"cessation"	"inconsistent"	"belief"	NA	"My wife smokes. It is difficult to be in the house with a smoker. I am not blaming it on my wife in any stretch of the imagination, but if she didnt
smoke it would be easier"	NA	NA	NA	"descriptive norm"	"descriptive norm"
"Berg2013.r_quittingissmart"	"Berg2013.r"	"Quitting is smart"	NA	"question"	"text"	"cessation"	"consistent"	"belief"	NA	"Well, most of my health problems are probably more or less related to cigarette smoking, I smoked so long. I know its not good for me; quitting
is the reasonable thing to do. People who still smoke are not very smart. And then I dont feel good about myself when I did start again, because
its not a smart thing to do"	"Table 4 page 804"	NA	NA	"attitude"	"attitude"
"Berg2013.r_quittingmakeshealthproblemsbeyondcancerlesslikely"	"Berg2013.r"	"Quitting makes health problems beyond cancer less likely"	NA	"question"	"text"	"cessation"	"consistent"	"belief"	NA	"I thought about people just having lung cancer. I didnt know that it was also the cause of 
bladder cancer. I went to the eye doctor the other day because I was having trouble seeing. He asked me if I 
smoked. I said I did until about a month or so ago. He said I had something behind my eyes
that was related to smoking. So many things are caused by it. It is not just cancer."	"Table 4 page 804"	NA	NA	"risk perception"	"risk perception"
"Berg2013.r_quittingmakesphysicianprovidecancertreatment"	"Berg2013.r"	"Quitting makes physician provide cancer treatment"	NA	"question"	"text"	"cessation"	"consistent"	"belief"	NA	"Once the diagnosis was in and the doctor said that, unless I agreed to quit he wasnt going to treat me, it was an easy decision. I was shocked
when he told me that statistically, as many as 3/4 of the people who quit start back again. I was floored by that information. Once he told me that
and then the treatment started almost immediately, the desire was gone."	"Table 4 page 804"	NA	NA	"risk perception"	"risk perception"
"Berg2013.r_quittingraisesmentaladdiction"	"Berg2013.r"	"Quitting raises mental addiction"	NA	"question"	"text"	"cessation"	"inconsistent"	"belief"	NA	"Smoking is not just one habit. Even though my body had stopped being addicted to the nicotine, I still have to deal with the fact of wanting the
cigarette. It is not a physical addiction anymore, but it is very much so a mental addiction"	NA	NA	NA	"disengagement beliefs"	"disengagement beliefs"
"Berg2013.r_quittingwilldecreasetheoddsofmorechemotherapytreatment"	"Berg2013.r"	"quitting will decrease the odds of more chemotherapy treatment"	NA	"question"	"text"	"cessation"	"consistent"	"belief"	NA	"Once you go through chemotherapy and five to six weeks of radiation, and feel like you want to
die, the last thing you want to do is have to go through that again. That is a heck of a motivator"	"Table 4 page 804"	NA	NA	"risk perception"	"risk perception"
"Berg2013.r_quittingwithpartner"	"Berg2013.r"	"Quitting with partner"	NA	"question"	"text"	"cessation"	"consistent"	"belief"	NA	"My husband quit because he saw that I had started smoking again. 
  I think that he felt responsible for me having started again, so he quit."	"Table 4 page 804"	NA	NA	"injunctive norm"	"injunctive norm"
"Berg2013.r_regretofreinitiationaidesquitting"	"Berg2013.r"	"Regret of re-initiation aides quitting"	NA	"question"	"text"	"cessation"	"consistent"	"belief"	NA	"NA"	"Table 4 page 804"	NA	NA	"attitude"	"attitude"
"Berg2013.r_selfcontrolisdifficultaroundsmokers"	"Berg2013.r"	"Self-control is difficult around smokers"	NA	"question"	"text"	"cessation"	"inconsistent"	"belief"	NA	"The bad thing with that is if youre constantly around people that smoke, theres always the temptation to have a cigarette. You just have to
control yourself and think Im not going to have one."	NA	NA	NA	"self-efficacy"	"self-efficacy"
"Berg2013.r_smokingalleviatesstress"	"Berg2013.r"	"Smoking alleviates stress"	NA	"question"	"text"	"cessation"	"inconsistent"	"belief"	NA	"When I get nervous, if I have a bad day, or some of those things, it makes me want to smoke. That is the fi rst thing I turn to when I have a bad day
or things weren’t going my way, I would have a cigarette and smoke"	"Table 4 page 804"	NA	NA	"attitude"	"attitude"
"Berg2013.r_surgeonrefusestooperateonsmokers"	"Berg2013.r"	"Surgeon refuses to operate on smokers"	NA	"question"	"text"	"cessation"	"consistent"	"belief"	NA	"Then there comes a point with me when somebody tells me youve got lung cancer, youve got this cancer, and if youve never smoked before
in your life, you wouldnt be going through this. When youve got one of the top surgeons in the country that says Im not going to operate on
you if you dont do this, then that was the end of it for me."	"Table 4 page 804"	NA	NA	"attitude"	"attitude"
"Berg2013.r_useofreplacementstimulushelpsbreaksmokinghabit"	"Berg2013.r"	"Use of replacement stimulus helps break smoking habit"	NA	"question"	"text"	"cessation"	"consistent"	"belief"	NA	"Particularly after I eat and in the morning with coffee is just a habit to wake up and have that cigarette. It was really hard to break that habit. I used
straws, mostly straws. I would puff on a straw"	NA	NA	NA	"self-efficacy"	"self-efficacy"
"Bewley1974.r_badideaforchildrentosmoke"	"Bewley1974.r"	"Bad idea for children to smoke"	"1"	"question"	"logical"	"initiation"	"inconsistent"	"belief"	"NA"	"Boys were asked if they agreed with statement in variable."	"retrieved from page 42. Table IX"	"NA"	"NA"	"attitude"	"attitude"
"Bewley1974.r_nicetosmokewithfriends"	"Bewley1974.r"	"Nice to smoke with friends"	"1"	"question"	"logical"	"initiation"	"consistent"	"belief"	"NA"	"Boys were asked if they agreed with statement in variable."	"retrieved from page 42. Table IX"	"NA"	"NA"	"injunctive norm"	"injunctive norm"
"Bewley1974.r_parentsshouldnotbeangryiftheirchildrensmoke"	"Bewley1974.r"	"Parents should not be angry if their children smoke"	"1"	"question"	"logical"	"initiation"	"consistent"	"belief"	"NA"	"Boys were asked if they agreed with statement in variable."	"retrieved from page 42. Table IX"	"NA"	"NA"	"moral norm"	"moral norm"
"Bewley1974.r_peoplemyagesmoketoshowoff"	"Bewley1974.r"	"People my age smoke to show off"	"1"	"question"	"logical"	"initiation"	"consistent"	"belief"	"NA"	"Boys were asked if they agreed with statement in variable."	"retrieved from page 42. Table IX"	"NA"	"NA"	"attitude"	"attitude"
"Bewley1974.r_smokingcausescancer"	"Bewley1974.r"	"Smoking causes cancer"	"1"	"question"	"logical"	"initiation"	"inconsistent"	"belief"	"NA"	"Boys were asked if they agreed with statement in variable."	"retrieved from page 42. Table IX"	"NA"	"NA"	"risk perception"	"risk perception"
"Bewley1974.r_smokingisawasteofmoney"	"Bewley1974.r"	"Smoking is a waste of money"	"1"	"question"	"logical"	"initiation"	"inconsistent"	"belief"	"NA"	"Boys were asked if they agreed with statement in variable."	"retrieved from page 42. Table IX"	"NA"	"NA"	"attitude"	"attitude"
"Bewley1974.r_smokingisenjoyable"	"Bewley1974.r"	"Smoking is enjoyable"	"1"	"question"	"logical"	"initiation"	"consistent"	"belief"	"NA"	"Boys were asked if they agreed with statement in variable."	"retrieved from page 42. Table IX"	"NA"	"NA"	"attitude"	"attitude"
"Bewley1974.r_smokingisnotharmful"	"Bewley1974.r"	"Smoking is not harmful"	"1"	"question"	"logical"	"initiation"	"consistent"	"belief"	"NA"	"Boys were asked if they agreed with statement in variable."	"retrieved from page 42. Table IX"	"NA"	"NA"	"risk perception"	"risk perception"
"Bewley1974.r_smokingmakesyoufeelgrownup"	"Bewley1974.r"	"Smoking makes you feel grown up"	"1"	"question"	"logical"	"initiation"	"consistent"	"belief"	"NA"	"Boys were asked if they agreed with statement in variable."	"retrieved from page 42. Table IX"	"NA"	"NA"	"attitude"	"attitude"
"Bewley1974.r_smokingstatus"	"Bewley1974.r"	"Smoking status"	"1"	"question"	"ordinal"	"initiation"	"consistent"	"behavior"	"NA"	"The category to which boys are assigned based on their smoking behaviour."	"Retrieved from Table IX, page 43"	"0 | 1 | 2 | 3"	"Non-smoker | Experimental Smoker | Light Smoker | Heavy Smoker"	"behavior"	"behavior"
"Bidstrup2009.r_attitudetowardsmoking"	"Bidstrup2009.r"	"Attitude toward smoking"	"1"	"aggregate"	"numeric"	"initiation"	"consistent"	"belief"	"NA"	"I that smoking is bad/not bad for my health, I think smoking is very stupid/not stupid"	"NA"	"NA"	"NA"	"attitude"	"attitude"
"Bidstrup2009.r_bestfriendsmokes"	"Bidstrup2009.r"	"Best friend smokes"	"1"	"question"	"nominal"	"initiation"	"consistent"	"belief"	"NA"	"Does your best friend smoke?"	"Figure 3, p. 387"	"1 | 2 | 3"	"No | Don't know | Yes"	"descriptive norm"	"descriptive norm"
"Bidstrup2009.r_bestfriendsmokesnodontknow"	"Bidstrup2009.r"	"Best friend smokes (No & Don't know)"	"1"	"question"	"nominal"	"initiation"	"consistent"	"belief"	"Best friend smokes"	"Does your best friend smoke?"	"Figure 3, p. 387"	"1 | 2"	"No | Don't know"	NA	NA
"Bidstrup2009.r_fathersmokes"	"Bidstrup2009.r"	"Father smokes"	"1"	"question"	"nominal"	"initiation"	"consistent"	"belief"	"NA"	"Does your father smoke?"	"Figure 3, p. 387"	"1 | 2 | 3"	"No | Don't know | Yes"	NA	NA
"Bidstrup2009.r_fathersmokesnodontknow"	"Bidstrup2009.r"	"Father smokes (No & Don't know)"	"1"	"question"	"nominal"	"initiation"	"consistent"	"belief"	"Father smokes"	"Does your father smoke?"	"Figure 3, p. 387"	"1 | 2"	"No | Don't know"	"descriptive norm"	"descriptive norm"
"Bidstrup2009.r_mothersmokes"	"Bidstrup2009.r"	"Mother smokes"	"1"	"question"	"nominal"	"initiation"	"consistent"	"belief"	"NA"	"Does your mother smoke?"	"Figure 3, p. 387"	"1 | 3"	"No | Yes"	"descriptive norm"	"descriptive norm"
"Bidstrup2009.r_mothersmokesnoyes"	"Bidstrup2009.r"	"Mother smokes (No & Yes)"	"1"	"question"	"nominal"	"initiation"	"consistent"	"belief"	"Mother smokes"	"Does your mother smoke?"	"Figure 3, p. 387"	"1 | 2"	"No | Yes"	"descriptive norm"	"descriptive norm"
"Bidstrup2009.r_selfefficacy"	"Bidstrup2009.r"	"Self-efficacy"	"1"	"question"	"numeric"	"initiation"	"inconsistent"	"belief"	"NA"	"I'm (sure/probably could/not so sure/probably couldn't /sure I can't) 
  refrain from smoking if someone I had a crush on wanted me to"	"NA"	"NA"	"NA"	"self-efficacy"	"self-efficacy"
"Bidstrup2009.r_smokingat1stfollowup"	"Bidstrup2009.r"	"Smoking at 1st follow up"	"2"	"aggregate"	"logical"	"initiation"	"consistent"	"behavior"	"NA"	"asks about current and past smoking (2 items)"	"NA"	"0 | 1"	"neversmoke | eversmoke"	"behavior"	"behavior"
"Bidstrup2009.r_smokingat2ndfollowup"	"Bidstrup2009.r"	"Smoking at 2nd follow up"	"3"	"aggregate"	"logical"	"initiation"	"consistent"	"behavior"	"NA"	"asks about current and past smoking (2 items)"	"NA"	"0 | 1"	"neversmoke | eversmoke"	"behavior"	"behavior"
"Bidstrup2009.r_socialinfluencenorms"	"Bidstrup2009.r"	"Social influence (norms)"	"1"	"aggregate"	"numeric"	"initiation"	"inconsistent"	"determinant"	"NA"	"My teachers/friens/best friend think its (Ok, don't care, think I should not) smoke"	"NA"	"NA"	"NA"	"injunctive norm"	"injunctive norm"
"Bidstrup2009.r_socialinfluencepressure"	"Bidstrup2009.r"	"Social influence (pressure)"	"1"	"aggregate"	"numeric"	"initiation"	"consistent"	"determinant"	"NA"	"I've felt pressured to smoke by (friends, best friend, other adolescents) Yes/no"	"only Yes/No answer options, therefore coded as c(1,3)"	"NA"	"NA"	"injunctive norm"	"injunctive norm"
"Bidstrup2011.r_negativeeffectsonlooks"	"Bidstrup2011.r"	"negative effects on looks"	"1"	"question"	"text"	"initiation"	"inconsistent"	"belief"	NA	"All the participants in the qualitative analyses could  
  describe the disadvantages of smoking, including ... effects on looks... "	"NA"	NA	NA	"attitude"	"attitude"
"Bidstrup2011.r_negativeeffectsonphysicalshape"	"Bidstrup2011.r"	"negative effects on physical shape"	"1"	"question"	"text"	"initiation"	"inconsistent"	"belief"	NA	"All the participants in the qualitative  analyses  could  describe  
  the  disadvantages  of smoking,  including ... effect on physical shape... "	"NA"	NA	NA	"attitude"	"attitude"
"Bidstrup2011.r_negativeeffectsonsmell"	"Bidstrup2011.r"	"negative effects on smell"	"1"	"question"	"text"	"initiation"	"inconsistent"	"belief"	NA	"All the participants in the qualitative  analyses 
  could  describe  the  disadvantages  of smoking,  including ... and smell..."	"NA"	NA	NA	"attitude"	"attitude"
"Bidstrup2011.r_negativehealtheffects"	"Bidstrup2011.r"	"negative health effects"	"1"	"question"	"text"	"initiation"	"inconsistent"	"belief"	NA	"All the participants in the qualitative  analyses  could  describe
  the disadvantages  of smoking, including  health  effects"	"NA"	NA	NA	"risk perception"	"risk perception"
"Bidstrup2011.r_pressuretosmokefromfriends"	"Bidstrup2011.r"	"Pressure to smoke from friends"	"1"	"question"	"text"	"initiation"	"consistent"	"belief"	NA	"All three participants who said that they had felt pressured were boys"	"NA"	NA	NA	"injunctive norm"	"injunctive norm"
"Bidstrup2011.r_risksofaddiction"	"Bidstrup2011.r"	"risks of addiction"	"1"	"question"	"text"	"initiation"	"inconsistent"	"belief"	NA	"All the participants in the qualitative  analyses  could  describe  
  the  disadvantages  of smoking,  including,... risk for addiction..."	"NA"	NA	NA	"attitude"	"attitude"
"Bidstrup2011.r_selfefficacytoresistsmokingonsituationalsocialopportunities"	"Bidstrup2011.r"	"Self-efficacy to resist smoking on situational social opportunities"	"1"	"question"	"text"	"initiation"	"consistent"	"belief"	NA	"I am not sure because it depends a lot on who you are with and who you are 
  and those kinds of things. And I am not able to say beforehand who I will be with at a certain time."	"NA"	NA	NA	"self-efficacy"	"self-efficacy"
"Bidstrup2011.r_smokingisdisgusting"	"Bidstrup2011.r"	"Smoking is disgusting"	"1"	"question"	"text"	"initiation"	"inconsistent"	"belief"	NA	"All the participants in the qualitative  analyses  could  describe  
  the  disadvantages  of smoking,  including... disgusting"	"NA"	NA	NA	"attitude"	"attitude"
"Bidstrup2011.r_smokingisstupid"	"Bidstrup2011.r"	"Smoking is stupid"	"1"	"question"	"text"	"initiation"	"inconsistent"	"belief"	NA	"All the participants in the qualitative  analyses  could  describe  
  the  disadvantages  of smoking  including... stupid... "	"NA"	NA	NA	"attitude"	"attitude"
"Bidstrup2011.r_smokingopportunityisoftenfacilitatedbyfriends"	"Bidstrup2011.r"	"Smoking-opportunity is often facilitated by friends"	"1"	"question"	"text"	"initiation"	"consistent"	"belief"	NA	"all adolescents who had tried smoking had friends who smoked, all had 
  someone they know present when they first tried smoking (how many is not mentioned, but >12)"	"NA"	NA	NA	"descriptive norm"	"descriptive norm"
"Bosse1973.r_affectedacquaintance"	"Bosse1973.r"	"Affected acquaintance"	NA	"question"	"logical"	"cessation"	"consistent"	"determinant"	"NA"	"question: ...has cigarette smoking affected 
the health of anyone you personally know?"	"Retrieved from top right page 383"	"NA"	"NA"	"injunctive norm"	"injunctive norm"
"Bosse1973.r_cessation"	"Bosse1973.r"	"cessation"	NA	"question"	"logical"	"cessation"	"consistent"	"behavior"	"NA"	"NA"	"NA"	"NA"	"NA"	"behavior"	"behavior"
"Bosse1973.r_warninglabelawareness"	"Bosse1973.r"	"Warning label awareness"	NA	"question"	"logical"	"initiation"	"consistent"	"determinant"	NA	NA	"NA"	NA	NA	"attitude"	"attitude"
