"study"	"variable1"	"variable2"	"df1"	"r"	"covariates"	"comment"	"v"	"v.from.raw.chisq"	"subsample"	"var1values"	"var1moment"	"var2values"	"var2moment"	"chisq"	"n"	"OR"	"df2"	"p"	"t"	"F"	"counter"	"d"	"etasq"	"insignificanceOnly"	"size"	"var1_dependent"	"var1_direction"	"var1_values"	"var1_uniqueVarID"	"var1_psytype"	"var2_dependent"	"var2_direction"	"var2_values"	"var2_uniqueVarID"	"var2_psytype"	"pred_psytype"	"dep_psytype"	"dependent"	"p.computed.from.chisq"	"v.computed.from.chisq"	"r.computed.from.or"	"d.computed.from.or"	"r.computed.from.t"	"p.computed.from.t"	"d.computed.from.t"	"p.computed.from.f"	"etasq.computed.from.f"	"omegasq.computed.from.f"	"d.computed.from.f"	"r_fam_sign"	"r.computed.from.v"	"r.computed.from.v.from.raw.chisq"	"r.computed.from.v.computed.from.chisq"	"r.computed.from.etasq"	"r.computed.from.etasq.computed.from.f"	"n.extracted"	"r.averaged.from.computations"	"r_fam_es"	"var1_classification"	"var2_classification"
"Barton1982.r"	"Smoker approximates ideal toughness"	"Smoking initiation intention"	147.148	0	NA	NA	NA	NA	"6th grade boys"	NA	NA	NA	NA	NA	148.148	NA	NA	NA	NA	NA	NA	NA	NA	NA	148.148	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealtoughness"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal looks"	"Smoking initiation intention"	147.148	0	NA	NA	NA	NA	"6th grade boys"	NA	NA	NA	NA	NA	148.148	NA	NA	NA	NA	NA	NA	NA	NA	NA	148.148	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesideallooks"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal relaxedness"	"Smoking initiation intention"	147.148	0	NA	NA	NA	NA	"6th grade boys"	NA	NA	NA	NA	NA	148.148	NA	NA	NA	NA	NA	NA	NA	NA	NA	148.148	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealrelaxedness"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal sexual orientation"	"Smoking initiation intention"	147.148	0	NA	NA	NA	NA	"6th grade boys"	NA	NA	NA	NA	NA	148.148	NA	NA	NA	NA	NA	NA	NA	NA	NA	148.148	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealsexualorientation"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal goodness"	"Smoking initiation intention"	147.148	0	NA	NA	NA	NA	"6th grade boys"	NA	NA	NA	NA	NA	148.148	NA	NA	NA	NA	NA	NA	NA	NA	NA	148.148	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealgoodness"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal school performance"	"Smoking initiation intention"	147.148	0	NA	NA	NA	NA	"6th grade boys"	NA	NA	NA	NA	NA	148.148	NA	NA	NA	NA	NA	NA	NA	NA	NA	148.148	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealschoolperformance"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal drinking behavior"	"Smoking initiation intention"	147.148	0	NA	NA	NA	NA	"6th grade boys"	NA	NA	NA	NA	NA	148.148	NA	NA	NA	NA	NA	NA	NA	NA	NA	148.148	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealdrinkingbehavior"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal sociability"	"Smoking initiation intention"	147.148	0	NA	NA	NA	NA	"6th grade boys"	NA	NA	NA	NA	NA	148.148	NA	NA	NA	NA	NA	NA	NA	NA	NA	148.148	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealsociability"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal maturity"	"Smoking initiation intention"	147.148	0	NA	NA	NA	NA	"6th grade boys"	NA	NA	NA	NA	NA	148.148	NA	NA	NA	NA	NA	NA	NA	NA	NA	148.148	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealmaturity"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal conformity"	"Smoking initiation intention"	147.148	0	NA	NA	NA	NA	"6th grade boys"	NA	NA	NA	NA	NA	148.148	NA	NA	NA	NA	NA	NA	NA	NA	NA	148.148	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealconformity"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal healthiness"	"Smoking initiation intention"	136.852	0	NA	NA	NA	NA	"6th grade girls"	NA	NA	NA	NA	NA	137.852	NA	NA	NA	NA	NA	NA	NA	NA	NA	137.852	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealhealthiness"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal wisdom"	"Smoking initiation intention"	136.852	0.17	NA	NA	NA	NA	"6th grade girls"	NA	NA	NA	NA	NA	137.852	NA	NA	NA	NA	NA	NA	NA	NA	NA	137.852	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealwisdom"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.17	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal toughness"	"Smoking initiation intention"	136.852	0	NA	NA	NA	NA	"6th grade girls"	NA	NA	NA	NA	NA	137.852	NA	NA	NA	NA	NA	NA	NA	NA	NA	137.852	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealtoughness"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal looks"	"Smoking initiation intention"	136.852	0	NA	NA	NA	NA	"6th grade girls"	NA	NA	NA	NA	NA	137.852	NA	NA	NA	NA	NA	NA	NA	NA	NA	137.852	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesideallooks"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal relaxedness"	"Smoking initiation intention"	136.852	0.19	NA	NA	NA	NA	"6th grade girls"	NA	NA	NA	NA	NA	137.852	NA	NA	NA	NA	NA	NA	NA	NA	NA	137.852	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealrelaxedness"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.19	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal sexual orientation"	"Smoking initiation intention"	136.852	0	NA	NA	NA	NA	"6th grade girls"	NA	NA	NA	NA	NA	137.852	NA	NA	NA	NA	NA	NA	NA	NA	NA	137.852	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealsexualorientation"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal goodness"	"Smoking initiation intention"	136.852	0.18	NA	NA	NA	NA	"6th grade girls"	NA	NA	NA	NA	NA	137.852	NA	NA	NA	NA	NA	NA	NA	NA	NA	137.852	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealgoodness"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.18	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal school performance"	"Smoking initiation intention"	136.852	0	NA	NA	NA	NA	"6th grade girls"	NA	NA	NA	NA	NA	137.852	NA	NA	NA	NA	NA	NA	NA	NA	NA	137.852	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealschoolperformance"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal drinking behavior"	"Smoking initiation intention"	136.852	0.24	NA	NA	NA	NA	"6th grade girls"	NA	NA	NA	NA	NA	137.852	NA	NA	NA	NA	NA	NA	NA	NA	NA	137.852	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealdrinkingbehavior"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.24	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal sociability"	"Smoking initiation intention"	136.852	0	NA	NA	NA	NA	"6th grade girls"	NA	NA	NA	NA	NA	137.852	NA	NA	NA	NA	NA	NA	NA	NA	NA	137.852	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealsociability"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal maturity"	"Smoking initiation intention"	136.852	0	NA	NA	NA	NA	"6th grade girls"	NA	NA	NA	NA	NA	137.852	NA	NA	NA	NA	NA	NA	NA	NA	NA	137.852	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealmaturity"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal conformity"	"Smoking initiation intention"	136.852	0.2	NA	NA	NA	NA	"6th grade girls"	NA	NA	NA	NA	NA	137.852	NA	NA	NA	NA	NA	NA	NA	NA	NA	137.852	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealconformity"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.2	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal healthiness"	"Smoking initiation intention"	101.424	0	NA	NA	NA	NA	"10th grade boys"	NA	NA	NA	NA	NA	102.424	NA	NA	NA	NA	NA	NA	NA	NA	NA	102.424	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealhealthiness"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal wisdom"	"Smoking initiation intention"	101.424	0	NA	NA	NA	NA	"10th grade boys"	NA	NA	NA	NA	NA	102.424	NA	NA	NA	NA	NA	NA	NA	NA	NA	102.424	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealwisdom"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal toughness"	"Smoking initiation intention"	101.424	0	NA	NA	NA	NA	"10th grade boys"	NA	NA	NA	NA	NA	102.424	NA	NA	NA	NA	NA	NA	NA	NA	NA	102.424	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealtoughness"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal looks"	"Smoking initiation intention"	101.424	0	NA	NA	NA	NA	"10th grade boys"	NA	NA	NA	NA	NA	102.424	NA	NA	NA	NA	NA	NA	NA	NA	NA	102.424	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesideallooks"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal relaxedness"	"Smoking initiation intention"	101.424	0.31	NA	NA	NA	NA	"10th grade boys"	NA	NA	NA	NA	NA	102.424	NA	NA	NA	NA	NA	NA	NA	NA	NA	102.424	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealrelaxedness"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.31	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal sexual orientation"	"Smoking initiation intention"	101.424	0.31	NA	NA	NA	NA	"10th grade boys"	NA	NA	NA	NA	NA	102.424	NA	NA	NA	NA	NA	NA	NA	NA	NA	102.424	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealsexualorientation"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.31	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal goodness"	"Smoking initiation intention"	101.424	0	NA	NA	NA	NA	"10th grade boys"	NA	NA	NA	NA	NA	102.424	NA	NA	NA	NA	NA	NA	NA	NA	NA	102.424	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealgoodness"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal school performance"	"Smoking initiation intention"	101.424	0	NA	NA	NA	NA	"10th grade boys"	NA	NA	NA	NA	NA	102.424	NA	NA	NA	NA	NA	NA	NA	NA	NA	102.424	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealschoolperformance"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal drinking behavior"	"Smoking initiation intention"	101.424	0	NA	NA	NA	NA	"10th grade boys"	NA	NA	NA	NA	NA	102.424	NA	NA	NA	NA	NA	NA	NA	NA	NA	102.424	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealdrinkingbehavior"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal sociability"	"Smoking initiation intention"	101.424	0	NA	NA	NA	NA	"10th grade boys"	NA	NA	NA	NA	NA	102.424	NA	NA	NA	NA	NA	NA	NA	NA	NA	102.424	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealsociability"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
